,Ngày,Thay đổi (+/-%),Số lệnh mua,Khối lượng đặt mua,KLTB 1 lệnh mua,Số lệnh đặt bán,Khối lượng đặt bán,KLTB 1 lệnh bán,Chênh lệch KL đặt mua - đặt bán
17,04/09/2012,14.4 (2.86 %),194,263500,1358,177,297900,1683,-34400
18,31/08/2012,14.1 (2.92 %),234,231100,988,152,266600,1754,-35500
19,30/08/2012,15.4 (-0.65 %),176,306700,1743,242,419000,1731,-112300
20,29/08/2012,15.5 (6.90 %),264,377900,1431,176,230600,1310,147300
1,28/08/2012,14.5 (-5.23 %),235,263200,1120,171,308700,1805,-45500
2,27/08/2012,15.3 (-6.71 %),172,199600,1160,156,350900,2249,-151300
3,24/08/2012,16.3 (0.62 %),396,536900,1356,313,532900,1703,4000
4,23/08/2012,16.2 (-6.90 %),93,95600,1028,101,209300,2072,-113700
5,22/08/2012,17.5 (3.55 %),438,640500,1462,229,585700,2558,54800
6,21/08/2012,16.9 (-6.63 %),245,336500,1373,210,471000,2243,-134500
7,20/08/2012,18.1 (6.47 %),482,1246100,2585,332,819200,2467,426900
8,17/08/2012,17 (0.00 %),114,116300,1020,114,148400,1302,-32100
9,16/08/2012,17 (0.00 %),77,97500,1266,87,99200,1140,-1700
10,15/08/2012,17 (0.00 %),120,157400,1312,112,141600,1264,15800
11,14/08/2012,17 (0.00 %),122,129600,1062,111,118900,1071,10700
12,13/08/2012,17 (0.00 %),146,88700,608,124,139000,1121,-50300
13,10/08/2012,18.1 (-1.09 %),127,96000,756,110,245900,2235,-149900
14,09/08/2012,18.3 (1.10 %),105,142200,1354,165,218500,1324,-76300
15,08/08/2012,18.2 (2.25 %),130,125100,962,130,119600,920,5500
16,07/08/2012,17.9 (-2.72 %),121,139300,1151,139,247800,1783,-108500
17,06/08/2012,18.4 (3.37 %),107,142500,1332,172,193800,1127,-51300
18,03/08/2012,17.9 (0.56 %),56,82000,1464,66,84600,1282,-2600
19,02/08/2012,17.9 (0.56 %),75,82200,1096,124,122300,986,-40100
20,01/08/2012,17.8 (-0.56 %),114,143800,1261,102,132100,1295,11700
1,31/07/2012,17.9 (1.70 %),129,186600,1447,122,174900,1434,11700
2,30/07/2012,17.7 (0.00 %),82,101100,1233,78,115300,1478,-14200
3,27/07/2012,17.7 (0.00 %),96,148700,1549,118,124300,1053,24400
4,26/07/2012,17.6 (0.00 %),95,195000,2053,102,177100,1736,17900
5,25/07/2012,17.6 (0.00 %),121,227100,1877,86,169300,1969,57800
6,24/07/2012,17.5 (-3.31 %),213,416000,1953,120,322100,2684,93900
7,23/07/2012,18.3 (-1.61 %),101,145500,1441,133,190200,1430,-44700
8,20/07/2012,18.6 (-1.59 %),223,352800,1582,258,487300,1889,-134500
9,19/07/2012,18.9 (4.42 %),183,302500,1653,182,324100,1781,-21600
10,18/07/2012,18.2 (0.55 %),152,289800,1907,147,262100,1783,27700
11,17/07/2012,18.2 (3.41 %),134,162300,1211,126,165800,1316,-3500
12,16/07/2012,17.8 (-0.56 %),158,166100,1051,221,289000,1308,-122900
13,13/07/2012,17.8 (2.89 %),153,327200,2139,200,310400,1552,16800
14,12/07/2012,17.3 (1.76 %),121,260700,2155,165,212600,1288,48100
15,11/07/2012,16.9 (2.42 %),128,342000,2672,178,316300,1777,25700
16,10/07/2012,16.5 (0.61 %),143,220400,1541,137,147600,1077,72800
17,09/07/2012,16.5 (-2.94 %),142,191900,1351,237,224700,948,-32800
18,06/07/2012,17 (6.92 %),147,500500,3405,233,432200,1855,68300
19,05/07/2012,15.9 (6.71 %),224,376800,1682,135,196300,1454,180500
20,04/07/2012,14.8 (-5.73 %),174,216400,1244,124,255700,2062,-39300
1,03/07/2012,15.6 (-6.02 %),199,236400,1188,119,257200,2161,-20800
2,02/07/2012,16.6 (-2.35 %),94,99800,1062,91,136500,1500,-36700
3,29/06/2012,16.9 (-1.17 %),95,99600,1048,125,186500,1492,-86900
4,28/06/2012,17.3 (2.98 %),154,264700,1719,108,193600,1793,71100
5,27/06/2012,16.8 (-1.18 %),179,227500,1271,131,205000,1565,22500
6,26/06/2012,17.2 (-4.44 %),238,255500,1074,121,263400,2177,-7900
7,25/06/2012,18 (-4.26 %),195,227000,1164,121,241800,1998,-14800
8,22/06/2012,18.9 (-1.56 %),238,242200,1018,126,193900,1539,48300
9,21/06/2012,19.3 (-0.52 %),130,184800,1422,66,143000,2167,41800
10,20/06/2012,19.4 (0.00 %),108,101500,940,75,96900,1292,4600
11,19/06/2012,19.4 (-1.02 %),143,205700,1438,119,166700,1401,39000
12,18/06/2012,19.6 (0.51 %),152,189600,1247,106,246100,2322,-56500
13,15/06/2012,19.4 (0.00 %),196,260000,1327,99,200100,2021,59900
14,14/06/2012,19.4 (-2.51 %),225,327700,1456,102,163400,1602,164300
15,13/06/2012,19.9 (-1.00 %),261,326700,1252,170,241400,1420,85300
16,12/06/2012,20 (-4.76 %),292,367600,1259,273,420900,1542,-53300
17,11/06/2012,21.1 (2.43 %),163,282800,1735,256,293500,1146,-10700
