,Ngày,Thay đổi (+/-%),Số lệnh mua,Khối lượng đặt mua,KLTB 1 lệnh mua,Số lệnh đặt bán,Khối lượng đặt bán,KLTB 1 lệnh bán,Chênh lệch KL đặt mua - đặt bán
2,03/06/2020,12.6 (0.40 %),993,3368380,3392,875,3068330,3507,300050
3,02/06/2020,12.55 (-0.79 %),1082,2828940,2615,1022,3422470,3349,-593530
4,01/06/2020,12.65 (1.61 %),958,4096220,4276,1082,3771160,3485,325060
5,29/05/2020,12.45 (-0.80 %),1432,4176610,2917,966,4566610,4727,-390000
6,28/05/2020,12.55 (0.40 %),971,3589790,3697,1025,4063110,3964,-473320
7,27/05/2020,12.5 (-3.85 %),1538,4445850,2891,1591,6651560,4181,-2205710
8,26/05/2020,13 (4.00 %),2370,9503740,4010,2415,9379110,3884,124630
9,25/05/2020,12.5 (1.21 %),1161,3886490,3348,1218,4632370,3803,-745880
10,22/05/2020,12.35 (-1.59 %),835,2923460,3501,1115,4262560,3823,-1339100
11,21/05/2020,12.55 (0.00 %),884,3100040,3507,1500,5188170,3459,-2088130
12,20/05/2020,12.55 (2.03 %),1321,5324010,4030,1598,6448620,4035,-1124610
13,19/05/2020,12.3 (-0.40 %),1465,3592530,2452,1278,5564110,4354,-1971580
14,18/05/2020,12.35 (0.41 %),948,2617790,2761,851,3039110,3571,-421320
15,15/05/2020,12.3 (-1.20 %),1195,2974590,2489,1221,4830910,3957,-1856320
16,14/05/2020,12.45 (-0.80 %),1030,3318380,3222,1120,4539690,4053,-1221310
17,13/05/2020,12.55 (-1.18 %),1433,4455320,3109,1408,5207220,3698,-751900
18,12/05/2020,12.7 (3.67 %),1883,7571630,4021,1665,5735430,3445,1836200
19,11/05/2020,12.25 (1.66 %),0,0,,0,0,,0
20,08/05/2020,12.05 (-0.82 %),1673,6388060,3818,1447,6450550,4458,-62490
1,07/05/2020,12.15 (1.67 %),1077,3447110,3201,1025,3498090,3413,-50980
2,06/05/2020,11.95 (-1.24 %),1304,4999890,3834,771,3548930,4603,1450960
3,05/05/2020,12.1 (3.86 %),1312,4182340,3188,839,2714870,3236,1467470
4,04/05/2020,11.65 (-5.67 %),2266,5419280,2392,1102,5427630,4925,-8350
5,29/04/2020,12.35 (-0.80 %),1666,6097970,3660,1344,7087110,5273,-989140
6,28/04/2020,12.45 (-1.97 %),1485,6445520,4340,1135,4959940,4370,1485580
7,27/04/2020,12.7 (-0.78 %),1350,5244860,3885,1936,7455130,3851,-2210270
8,24/04/2020,12.8 (2.81 %),2180,9513450,4364,2467,8580710,3478,932740
9,23/04/2020,12.45 (4.18 %),1608,7729220,4807,1817,6518730,3588,1210490
10,22/04/2020,11.95 (4.37 %),1743,5222250,2996,989,4337930,4386,884320
11,21/04/2020,11.45 (-6.15 %),2210,5455030,2468,1380,7185740,5207,-1730710
12,20/04/2020,12.2 (2.95 %),2074,6072360,2928,1639,6293590,3840,-221230
13,17/04/2020,11.85 (-0.42 %),1133,2845410,2511,1363,4607790,3381,-1762380
14,16/04/2020,11.9 (3.03 %),1829,7124520,3895,1649,7304000,4429,-179480
15,15/04/2020,11.55 (6.94 %),1709,7896100,4620,1581,5686590,3597,2209510
16,14/04/2020,10.8 (1.41 %),968,2727590,2818,758,2888850,3811,-161260
17,13/04/2020,10.65 (0.00 %),1059,3139530,2965,847,3563500,4207,-423970
18,10/04/2020,10.65 (-2.29 %),910,2123410,2333,825,3792640,4597,-1669230
19,09/04/2020,10.9 (1.40 %),1149,4136340,3600,1236,4975770,4026,-839430
20,08/04/2020,10.75 (0.94 %),1078,3247750,3013,696,3055180,4390,192570
1,07/04/2020,10.65 (-1.39 %),1012,2450690,2422,889,3698460,4160,-1247770
2,06/04/2020,10.8 (4.85 %),936,4385520,4685,979,3384200,3457,1001320
3,03/04/2020,10.3 (3.10 %),1149,4002600,3484,951,3924110,4126,78490
4,01/04/2020,9.99 (6.39 %),676,2000180,2959,518,1618680,3125,381500
5,31/03/2020,9.39 (-3.20 %),1019,3314700,3253,628,3049340,4856,265360
6,30/03/2020,9.7 (-4.90 %),917,2610070,2846,534,2250030,4214,360040
7,27/03/2020,10.2 (-1.45 %),761,2786240,3661,608,3664080,6026,-877840
8,26/03/2020,10.35 (-2.36 %),873,3716070,4257,917,3895520,4248,-179450
9,25/03/2020,10.6 (4.95 %),686,3885690,5664,734,3174660,4325,711030
10,24/03/2020,10.1 (2.43 %),828,7014370,8471,773,3331480,4310,3682890
11,23/03/2020,9.86 (-6.98 %),937,5153600,5500,921,5322500,5779,-168900
12,20/03/2020,10.6 (0.47 %),581,1743610,3001,511,1866290,3652,-122680
13,19/03/2020,10.55 (-4.09 %),860,1948140,2265,560,1995820,3564,-47680
14,18/03/2020,11 (-1.35 %),703,2348750,3341,847,3382770,3994,-1034020
15,17/03/2020,11.15 (3.24 %),1226,3412140,2783,1042,3592510,3448,-180370
16,16/03/2020,10.8 (6.93 %),1266,4648810,3672,501,1590020,3174,3058790
17,13/03/2020,10.1 (0.50 %),1188,5268350,4435,927,3612520,3897,1655830
18,12/03/2020,10.05 (-6.94 %),1035,3225150,3116,771,4287820,5561,-1062670
19,11/03/2020,0 (0.00 %),1109,2847610,2568,663,3570480,5385,-722870
20,10/03/2020,11.35 (-1.30 %),1405,4116360,2930,700,3447810,4925,668550
1,09/03/2020,11.5 (-6.88 %),1094,3322930,3037,874,7517460,8601,-4194530
2,06/03/2020,12.35 (-1.98 %),1049,2865270,2731,502,3112570,6200,-247300
3,05/03/2020,12.6 (-0.40 %),616,2132310,3462,888,3878310,4367,-1746000
4,04/03/2020,12.65 (0.00 %),757,2437770,3220,632,2906330,4599,-468560
5,03/03/2020,12.65 (2.02 %),829,3707170,4472,885,4055600,4583,-348430
6,02/03/2020,12.4 (0.40 %),0,0,,0,0,,0
7,28/02/2020,12.35 (-2.76 %),1210,3237210,2675,708,4376020,6181,-1138810
8,27/02/2020,12.7 (0.79 %),746,2938470,3939,719,2737930,3808,200540
9,26/02/2020,12.6 (0.00 %),976,3635050,3724,650,3518950,5414,116100
10,25/02/2020,12.6 (1.61 %),1614,6309560,3909,1000,5198180,5198,1111380
11,24/02/2020,12.4 (-6.77 %),0,0,,0,0,,0
12,21/02/2020,13.3 (1.14 %),0,0,,0,0,,0
13,20/02/2020,13.15 (6.91 %),2294,10139710,4420,1828,6193190,3388,3946520
14,19/02/2020,12.3 (0.82 %),494,1778550,3600,595,2153030,3619,-374480
15,18/02/2020,12.2 (-1.21 %),574,1828910,3186,711,3367760,4737,-1538850
16,17/02/2020,12.35 (0.41 %),648,2175180,3357,775,3040430,3923,-865250
17,14/02/2020,12.3 (0.00 %),756,2399250,3174,721,3180480,4411,-781230
18,13/02/2020,12.3 (-0.40 %),741,2078360,2805,762,3273570,4296,-1195210
19,12/02/2020,12.35 (0.82 %),1118,4161570,3722,1051,4703940,4476,-542370
20,11/02/2020,12.25 (1.24 %),881,2837170,3220,737,3277040,4446,-439870
1,10/02/2020,12.1 (-1.22 %),971,3224850,3321,768,3044500,3964,180350
2,07/02/2020,12.25 (2.51 %),1259,4929050,3915,1256,5098220,4059,-169170
3,06/02/2020,11.95 (6.70 %),1702,7752250,4555,1051,4083770,3886,3668480
4,05/02/2020,11.2 (1.82 %),883,2574430,2916,738,2420780,3280,153650
5,04/02/2020,11 (2.80 %),1318,4528470,3436,844,3646230,4320,882240
6,03/02/2020,10.7 (-6.96 %),1439,4228540,2939,964,6625170,6873,-2396630
7,31/01/2020,11.5 (-4.96 %),1135,3076930,2711,725,4148760,5722,-1071830
8,30/01/2020,12.1 (-3.97 %),1136,2521370,2220,594,3463760,5831,-942390
9,22/01/2020,12.6 (0.40 %),659,1875870,2847,485,2340280,4825,-464410
10,21/01/2020,12.55 (0.80 %),543,1923980,3543,567,2202380,3884,-278400
11,20/01/2020,12.45 (-0.40 %),505,1404160,2781,643,2014010,3132,-609850
12,17/01/2020,12.5 (0.81 %),649,2441210,3761,986,3079660,3123,-638450
13,16/01/2020,12.4 (4.20 %),982,4325660,4405,1225,3866070,3156,459590
14,15/01/2020,11.9 (0.00 %),716,2097320,2929,690,2974250,4311,-876930
15,14/01/2020,11.9 (-0.83 %),771,1779730,2308,668,2936450,4396,-1156720
16,13/01/2020,12 (-0.83 %),657,1503610,2289,675,2817230,4174,-1313620
17,10/01/2020,12.1 (0.41 %),611,1850470,3029,717,2733100,3812,-882630
18,09/01/2020,12.05 (0.42 %),714,1914310,2681,771,3733490,4842,-1819180
19,08/01/2020,12 (-3.23 %),1532,4292420,2802,1054,5523660,5241,-1231240
20,07/01/2020,12.4 (0.81 %),827,2632790,3184,846,3168000,3745,-535210
1,06/01/2020,12.3 (-3.15 %),1235,2362700,1913,753,3378860,4487,-1016160
2,03/01/2020,12.7 (-0.39 %),928,1871700,2017,754,2740140,3634,-868440
3,02/01/2020,12.75 (0.39 %),682,1839800,2698,713,2215620,3107,-375820
4,31/12/2019,12.7 (0.79 %),675,2046170,3031,725,2423540,3343,-377370
5,30/12/2019,12.6 (-2.33 %),939,2465990,2626,802,3462140,4317,-996150
6,27/12/2019,12.9 (1.18 %),939,3106970,3309,774,2580380,3334,526590
7,26/12/2019,12.75 (-1.54 %),930,2353540,2531,884,3152550,3566,-799010
8,25/12/2019,12.95 (4.44 %),1448,4627420,3196,1005,3659600,3641,967820
9,24/12/2019,12.4 (-1.98 %),1529,4073670,2664,1040,4507790,4334,-434120
10,23/12/2019,12.65 (-5.60 %),0,0,,0,0,,0
11,20/12/2019,13.4 (-1.11 %),1030,2357180,2289,687,3587840,5222,-1230660
12,19/12/2019,13.55 (-2.17 %),1522,3081800,2025,775,5560110,7174,-2478310
13,18/12/2019,13.85 (-0.36 %),766,1693850,2211,574,2493650,4344,-799800
14,17/12/2019,13.9 (-1.42 %),942,2093590,2222,559,3882710,6946,-1789120
15,16/12/2019,14.1 (0.00 %),601,1496280,2490,595,3031300,5095,-1535020
16,13/12/2019,14.1 (0.36 %),843,2529470,3001,806,3485500,4324,-956030
17,12/12/2019,14.05 (0.36 %),733,2040720,2784,639,2268920,3551,-228200
18,11/12/2019,14 (0.72 %),661,1658570,2509,448,2350630,5247,-692060
19,10/12/2019,13.9 (-1.77 %),998,2135390,2140,608,4521710,7437,-2386320
20,09/12/2019,14.15 (-0.35 %),732,1680010,2295,644,2634150,4090,-954140
1,06/12/2019,14.2 (1.43 %),946,3604380,3810,830,3906050,4706,-301670
2,05/12/2019,14 (0.72 %),803,2381140,2965,597,3210700,5378,-829560
3,04/12/2019,13.9 (0.36 %),0,0,,0,0,,0
4,03/12/2019,13.85 (0.00 %),991,2777700,2803,896,3670570,4097,-892870
5,02/12/2019,13.85 (-1.77 %),868,1974750,2275,640,3086210,4822,-1111460
6,29/11/2019,14.1 (0.00 %),844,1964350,2327,564,2212080,3922,-247730
7,28/11/2019,14.1 (-0.70 %),916,2027870,2214,590,3717940,6302,-1690070
8,27/11/2019,14.2 (0.00 %),966,2319120,2401,628,3249230,5174,-930110
9,26/11/2019,14.2 (0.71 %),1148,3435230,2992,642,3004250,4680,430980
10,25/11/2019,14.1 (-1.74 %),1182,2694230,2279,736,3404110,4625,-709880
11,22/11/2019,14.35 (-3.04 %),1604,3557980,2218,874,5280110,6041,-1722130
